0,0,0
200,0.420147,13
400,0.840294,29
600,1.060371,44
800,1.220427,54
1000,1.40049,70
1200,1.540539,85
1400,1.660581,101
1600,1.780623,116
1800,1.840644,131
2000,1.900665,131
2200,1.900665,131
2400,1.900665,131
