4,0.8,1,14
9,0.8760000000000001,2,14
10,0.9080323396327501,4,14
11,0.9872431679177898,6,14
12,1.0617416949604948,8,14
13,1.1331863907983406,10,14
14,1.1715940078431446,11,14
15,1.25170469861881,13,14
16,1.3294687872559254,15,14
17,1.3656291479409495,16,14
18,1.4314839499660816,18,14
19,1.4892492901678729,20,14
20,1.5633420740020423,23,14
21,1.5854108721227131,24,14
22,1.6063882914650192,25,14
23,1.6635253457489245,28,14
24,1.7277894467180799,32,14
25,1.7802283337795106,36,14
26,1.8130101172458608,39,14
27,1.8495352478083487,43,14
28,1.8792926696422203,47,14
29,1.9035367364643485,51,14
30,1.9232832352286326,55,14
31,1.9356491283812889,58,14
32,1.9494379287139822,62,14
33,1.9606691447989302,66,14
34,1.969817085435131,70,14
35,1.9772681226455313,74,14
36,1.9819344686353642,77,14
38,1.9859352776284096,80,14
39,1.989365472606093,83,14
40,1.9923064365085095,86,14
41,1.9955858343814832,90,14
42,1.9976396188970738,93,14
43,1.999929744546672,97,14
44,2.0017950662350215,101,14
45,2.003314382417665,105,14
46,2.004551874940212,109,14
48,2.005781115611052,114,14
49,2.006380798154444,117,14
50,2.0070494897218785,121,14
51,2.007594143182848,125,14
52,2.0079352426689274,128,14
