2,0.8,1,4
5,0.8760000000000001,2,4
7,0.8956937413,3,4
8,0.9644555142499649,5,4
9,1.0867056177876835,7,4
10,1.2943418401541815,11,4
11,1.4422706627795416,14,4
12,1.6037322437692834,18,4
13,1.7032847961948625,21,4
14,1.814129200236557,25,4
15,1.904724838828102,29,4
16,1.9785012072759216,33,4
17,2.051763108489339,38,4
18,2.0982481443130814,42,4
19,2.152321339577,48,4
20,2.20282385519981,56,4
21,2.239630254510542,65,4
22,2.262827463755987,74,4
23,2.278693502027439,84,4
24,2.28666175508734,92,4
25,2.292469039375557,101,4
26,2.2961290768703133,110,4
27,2.298435813340952,119,4
28,2.300013536262992,129,4
